$Name[1:0]<1:1>,"%Input[4:0,0,0,0]<4:6,2,3,4>","%Input[4:0,0,0,1]","%Input[4:0,0,0,2]","%Input[4:0,0,0,3]","%Input[4:0,0,1,0]","%Input[4:0,0,1,1]","%Input[4:0,0,1,2]","%Input[4:0,0,1,3]","%Input[4:0,0,2,0]","%Input[4:0,0,2,1]","%Input[4:0,0,2,2]","%Input[4:0,0,2,3]","%Input[4:0,1,0,0]","%Input[4:0,1,0,1]","%Input[4:0,1,0,2]","%Input[4:0,1,0,3]","%Input[4:0,1,1,0]","%Input[4:0,1,1,1]","%Input[4:0,1,1,2]","%Input[4:0,1,1,3]","%Input[4:0,1,2,0]","%Input[4:0,1,2,1]","%Input[4:0,1,2,2]","%Input[4:0,1,2,3]","%Input[4:1,0,0,0]","%Input[4:1,0,0,1]","%Input[4:1,0,0,2]","%Input[4:1,0,0,3]","%Input[4:1,0,1,0]","%Input[4:1,0,1,1]","%Input[4:1,0,1,2]","%Input[4:1,0,1,3]","%Input[4:1,0,2,0]","%Input[4:1,0,2,1]","%Input[4:1,0,2,2]","%Input[4:1,0,2,3]","%Input[4:1,1,0,0]","%Input[4:1,1,0,1]","%Input[4:1,1,0,2]","%Input[4:1,1,0,3]","%Input[4:1,1,1,0]","%Input[4:1,1,1,1]","%Input[4:1,1,1,2]","%Input[4:1,1,1,3]","%Input[4:1,1,2,0]","%Input[4:1,1,2,1]","%Input[4:1,1,2,2]","%Input[4:1,1,2,3]","%Input[4:2,0,0,0]","%Input[4:2,0,0,1]","%Input[4:2,0,0,2]","%Input[4:2,0,0,3]","%Input[4:2,0,1,0]","%Input[4:2,0,1,1]","%Input[4:2,0,1,2]","%Input[4:2,0,1,3]","%Input[4:2,0,2,0]","%Input[4:2,0,2,1]","%Input[4:2,0,2,2]","%Input[4:2,0,2,3]","%Input[4:2,1,0,0]","%Input[4:2,1,0,1]","%Input[4:2,1,0,2]","%Input[4:2,1,0,3]","%Input[4:2,1,1,0]","%Input[4:2,1,1,1]","%Input[4:2,1,1,2]","%Input[4:2,1,1,3]","%Input[4:2,1,2,0]","%Input[4:2,1,2,1]","%Input[4:2,1,2,2]","%Input[4:2,1,2,3]","%Input[4:3,0,0,0]","%Input[4:3,0,0,1]","%Input[4:3,0,0,2]","%Input[4:3,0,0,3]","%Input[4:3,0,1,0]","%Input[4:3,0,1,1]","%Input[4:3,0,1,2]","%Input[4:3,0,1,3]","%Input[4:3,0,2,0]","%Input[4:3,0,2,1]","%Input[4:3,0,2,2]","%Input[4:3,0,2,3]","%Input[4:3,1,0,0]","%Input[4:3,1,0,1]","%Input[4:3,1,0,2]","%Input[4:3,1,0,3]","%Input[4:3,1,1,0]","%Input[4:3,1,1,1]","%Input[4:3,1,1,2]","%Input[4:3,1,1,3]","%Input[4:3,1,2,0]","%Input[4:3,1,2,1]","%Input[4:3,1,2,2]","%Input[4:3,1,2,3]","%Input[4:4,0,0,0]","%Input[4:4,0,0,1]","%Input[4:4,0,0,2]","%Input[4:4,0,0,3]","%Input[4:4,0,1,0]","%Input[4:4,0,1,1]","%Input[4:4,0,1,2]","%Input[4:4,0,1,3]","%Input[4:4,0,2,0]","%Input[4:4,0,2,1]","%Input[4:4,0,2,2]","%Input[4:4,0,2,3]","%Input[4:4,1,0,0]","%Input[4:4,1,0,1]","%Input[4:4,1,0,2]","%Input[4:4,1,0,3]","%Input[4:4,1,1,0]","%Input[4:4,1,1,1]","%Input[4:4,1,1,2]","%Input[4:4,1,1,3]","%Input[4:4,1,2,0]","%Input[4:4,1,2,1]","%Input[4:4,1,2,2]","%Input[4:4,1,2,3]","%Input[4:5,0,0,0]","%Input[4:5,0,0,1]","%Input[4:5,0,0,2]","%Input[4:5,0,0,3]","%Input[4:5,0,1,0]","%Input[4:5,0,1,1]","%Input[4:5,0,1,2]","%Input[4:5,0,1,3]","%Input[4:5,0,2,0]","%Input[4:5,0,2,1]","%Input[4:5,0,2,2]","%Input[4:5,0,2,3]","%Input[4:5,1,0,0]","%Input[4:5,1,0,1]","%Input[4:5,1,0,2]","%Input[4:5,1,0,3]","%Input[4:5,1,1,0]","%Input[4:5,1,1,1]","%Input[4:5,1,1,2]","%Input[4:5,1,1,3]","%Input[4:5,1,2,0]","%Input[4:5,1,2,1]","%Input[4:5,1,2,2]","%Input[4:5,1,2,3]","%ECout[4:0,0,0,0]<4:6,2,3,4>","%ECout[4:0,0,0,1]","%ECout[4:0,0,0,2]","%ECout[4:0,0,0,3]","%ECout[4:0,0,1,0]","%ECout[4:0,0,1,1]","%ECout[4:0,0,1,2]","%ECout[4:0,0,1,3]","%ECout[4:0,0,2,0]","%ECout[4:0,0,2,1]","%ECout[4:0,0,2,2]","%ECout[4:0,0,2,3]","%ECout[4:0,1,0,0]","%ECout[4:0,1,0,1]","%ECout[4:0,1,0,2]","%ECout[4:0,1,0,3]","%ECout[4:0,1,1,0]","%ECout[4:0,1,1,1]","%ECout[4:0,1,1,2]","%ECout[4:0,1,1,3]","%ECout[4:0,1,2,0]","%ECout[4:0,1,2,1]","%ECout[4:0,1,2,2]","%ECout[4:0,1,2,3]","%ECout[4:1,0,0,0]","%ECout[4:1,0,0,1]","%ECout[4:1,0,0,2]","%ECout[4:1,0,0,3]","%ECout[4:1,0,1,0]","%ECout[4:1,0,1,1]","%ECout[4:1,0,1,2]","%ECout[4:1,0,1,3]","%ECout[4:1,0,2,0]","%ECout[4:1,0,2,1]","%ECout[4:1,0,2,2]","%ECout[4:1,0,2,3]","%ECout[4:1,1,0,0]","%ECout[4:1,1,0,1]","%ECout[4:1,1,0,2]","%ECout[4:1,1,0,3]","%ECout[4:1,1,1,0]","%ECout[4:1,1,1,1]","%ECout[4:1,1,1,2]","%ECout[4:1,1,1,3]","%ECout[4:1,1,2,0]","%ECout[4:1,1,2,1]","%ECout[4:1,1,2,2]","%ECout[4:1,1,2,3]","%ECout[4:2,0,0,0]","%ECout[4:2,0,0,1]","%ECout[4:2,0,0,2]","%ECout[4:2,0,0,3]","%ECout[4:2,0,1,0]","%ECout[4:2,0,1,1]","%ECout[4:2,0,1,2]","%ECout[4:2,0,1,3]","%ECout[4:2,0,2,0]","%ECout[4:2,0,2,1]","%ECout[4:2,0,2,2]","%ECout[4:2,0,2,3]","%ECout[4:2,1,0,0]","%ECout[4:2,1,0,1]","%ECout[4:2,1,0,2]","%ECout[4:2,1,0,3]","%ECout[4:2,1,1,0]","%ECout[4:2,1,1,1]","%ECout[4:2,1,1,2]","%ECout[4:2,1,1,3]","%ECout[4:2,1,2,0]","%ECout[4:2,1,2,1]","%ECout[4:2,1,2,2]","%ECout[4:2,1,2,3]","%ECout[4:3,0,0,0]","%ECout[4:3,0,0,1]","%ECout[4:3,0,0,2]","%ECout[4:3,0,0,3]","%ECout[4:3,0,1,0]","%ECout[4:3,0,1,1]","%ECout[4:3,0,1,2]","%ECout[4:3,0,1,3]","%ECout[4:3,0,2,0]","%ECout[4:3,0,2,1]","%ECout[4:3,0,2,2]","%ECout[4:3,0,2,3]","%ECout[4:3,1,0,0]","%ECout[4:3,1,0,1]","%ECout[4:3,1,0,2]","%ECout[4:3,1,0,3]","%ECout[4:3,1,1,0]","%ECout[4:3,1,1,1]","%ECout[4:3,1,1,2]","%ECout[4:3,1,1,3]","%ECout[4:3,1,2,0]","%ECout[4:3,1,2,1]","%ECout[4:3,1,2,2]","%ECout[4:3,1,2,3]","%ECout[4:4,0,0,0]","%ECout[4:4,0,0,1]","%ECout[4:4,0,0,2]","%ECout[4:4,0,0,3]","%ECout[4:4,0,1,0]","%ECout[4:4,0,1,1]","%ECout[4:4,0,1,2]","%ECout[4:4,0,1,3]","%ECout[4:4,0,2,0]","%ECout[4:4,0,2,1]","%ECout[4:4,0,2,2]","%ECout[4:4,0,2,3]","%ECout[4:4,1,0,0]","%ECout[4:4,1,0,1]","%ECout[4:4,1,0,2]","%ECout[4:4,1,0,3]","%ECout[4:4,1,1,0]","%ECout[4:4,1,1,1]","%ECout[4:4,1,1,2]","%ECout[4:4,1,1,3]","%ECout[4:4,1,2,0]","%ECout[4:4,1,2,1]","%ECout[4:4,1,2,2]","%ECout[4:4,1,2,3]","%ECout[4:5,0,0,0]","%ECout[4:5,0,0,1]","%ECout[4:5,0,0,2]","%ECout[4:5,0,0,3]","%ECout[4:5,0,1,0]","%ECout[4:5,0,1,1]","%ECout[4:5,0,1,2]","%ECout[4:5,0,1,3]","%ECout[4:5,0,2,0]","%ECout[4:5,0,2,1]","%ECout[4:5,0,2,2]","%ECout[4:5,0,2,3]","%ECout[4:5,1,0,0]","%ECout[4:5,1,0,1]","%ECout[4:5,1,0,2]","%ECout[4:5,1,0,3]","%ECout[4:5,1,1,0]","%ECout[4:5,1,1,1]","%ECout[4:5,1,1,2]","%ECout[4:5,1,1,3]","%ECout[4:5,1,2,0]","%ECout[4:5,1,2,1]","%ECout[4:5,1,2,2]","%ECout[4:5,1,2,3]"
TrainAB-Me10,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
TrainAB-Me11,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0
TrainAB-Me12,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0
TrainAB-Me13,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0
TrainAB-Me14,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
TrainAB-Me15,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
TrainAB-Me16,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
TrainAB-Me17,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
TrainAB-Me18,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
TrainAB-Me19,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
